"id","vendor_category_en","vendor_category_id","delivery_charge","serving_distance","OpeningTime","OpeningTime2","prepration_time","discount_percentage","vendor_rating","vendor_tag","vendor_tag_name","revenue","total_items","deliverydistance","preparationtime","temp","precip","rated_vendor","delivery_time","Loc_Home","Loc_Work","Loc_Other"
4,"Restaurants",2,0,6,"11:00AM-11:30PM","-",15,0,4.4,"2,4,5,8,91,22,12,24,16,23","Arabic,Breakfast,Burgers,Desserts,Free Delivery,Grills,Lebanese,Salads,Sandwiches,Shawarma",15401.4,2828,5.54894736842105,42.7834008097166,73.9034412955466,0.0275,0.396761133603239,198.818784210526,421,199,98
13,"Restaurants",2,0.7,5,"08:30AM-10:30PM","-",14,0,4.7,"4,41,51,34,27,15,24,16,28","Breakfast,Cakes,Crepes,Italian,Pasta,Pizzas,Salads,Sandwiches,Soups",5644.2,682,5.42376854599406,41.3353115727003,73.9557863501484,0.0119287833827893,0.465875370919881,194.333627002967,132,85,35
20,"Restaurants",2,0,8,"08:00AM-10:45PM","-",19,0,4.5,"4,8,91,10","Breakfast,Desserts,Free Delivery,Indian",14509.4,1589,8.42373228346457,49.8976377952756,74.0988976377953,0.0120472440944882,0.414173228346457,301.822327716535,270,115,73
23,"Restaurants",2,0,5,"10:59AM-10:30PM","-",16,0,4.5,"5,8,30,24","Burgers,Desserts,Fries,Salads",10421.2,1109,7.30578260869565,45.2065217391304,73.8189130434783,0.0105869565217391,0.360869565217391,261.766190869565,191,57,53
28,"Restaurants",2,0.7,15,"11:00AM-11:45PM","-",10,0,4.4,"5","Burgers",12210.2,2763,7.4026386036961,40.9599589322382,75.0345995893224,0.0241170431211499,0.462012320328542,265.236541170431,372,174,141
33,"Restaurants",2,0.7,6,"11:00AM-10:30PM","-",17,0,4.6,"8,42","Desserts,Mexican",20470.2,2916,7.19922008547009,45.224358974359,74.113141025641,0.0215598290598291,0.448717948717949,257.948055662393,398,115,124
43,"Restaurants",2,0.7,15,"11:00AM-11:45PM","-",15,0,4.3,"1,5,30,16","American,Burgers,Fries,Sandwiches",6314.8,1467,7.24315151515152,43.3030303030303,75.1917171717172,0.0255353535353535,0.460606060606061,259.522118787879,188,90,79
44,"Restaurants",2,0.7,15,"11:00AM-11:45PM","-",14,0,4.3,"1,5,30,16","American,Burgers,Fries,Sandwiches",12654.7,3068,8.42000865051903,45.9818339100346,75.6524221453287,0.01530276816609,0.51643598615917,301.688909948097,464,206,164
55,"Restaurants",2,0.7,10,"09:00AM-11:30PM","-",19,0,4.5,"4,8,22,32,24,16,28","Breakfast,Desserts,Grills,Milkshakes,Salads,Sandwiches,Soups",9581.1,1667,7.3180971659919,50.6983805668016,75.9514170040486,0.0155060728744939,0.516194331983806,262.20742145749,220,93,56
66,"Restaurants",2,0,15,"05:00PM-11:00PM","-",20,10,4,"4,5,8,10,24","Breakfast,Burgers,Desserts,Indian,Salads",434.8,69,5.12921052631579,45.2631578947368,71.1473684210526,0.00605263157894737,0.263157894736842,183.779613157895,10,7,1
67,"Restaurants",2,0,15,"08:00AM-11:30PM","-",15,0,4.3,"4,8,22,32,24,16,28","Breakfast,Desserts,Grills,Milkshakes,Salads,Sandwiches,Soups",10465.5,1638,7.59332692307692,45.2788461538462,73.8640384615385,0.0171346153846154,0.401923076923077,272.068903653846,216,85,75
75,"Restaurants",2,0.7,5,"11:00AM-10:30PM","-",15,0,4.6,"3,8,9,11,24,54","Asian,Desserts,Healthy Food,Japanese,Salads,Sushi",9725.4,759,7.60033582089552,44.794776119403,73.7063432835821,0.0199626865671642,0.384328358208955,272.320032462687,106,59,31
76,"Restaurants",2,0.7,15,"08:30AM-09:30PM","-",15,0,4.6,"16,4,5,52","Sandwiches,Breakfast,Burgers,Mojitos",5146.5,1292,6.37465838509317,43.1987577639752,74.5755693581781,0.0164596273291925,0.496894409937888,228.404009937888,182,119,50
79,"Restaurants",2,0,15,"11:59AM-2:15 am","-",15,0,4.7,"5,8,91,27,16","Burgers,Desserts,Free Delivery,Pasta,Sandwiches",59245.7,11595,6.97865430752454,44.8974918211559,74.3264776444929,0.0189989094874591,0.400436205016358,250.045183838604,1961,616,592
81,"Restaurants",2,0,15,"08:00AM-12:30PM","05:00PM-11:30PM",15,0,3.8,"2,4,8,53,13,24,16","Arabic,Breakfast,Desserts,Mandazi,Omani,Salads,Sandwiches",1642.8,507,7.04071856287425,46.7964071856287,74.5652694610778,0.00952095808383234,0.377245508982036,252.268946107784,69,32,11
82,"Restaurants",2,0.7,8,"08:00AM-11:59PM","-",11,0,4.4,"4,8,12,50,15,24,16","Breakfast,Desserts,Lebanese,Manakeesh,Pizzas,Salads,Sandwiches",11866.6,1642,7.90762048192771,41.6265060240964,73.7426204819277,0.0181626506024096,0.393072289156627,283.33004186747,223,103,107
83,"Restaurants",2,0.7,15,"11:00AM-11:00PM","-",15,0,4.2,"4,8,24,2","Breakfast,Desserts,Salads,Arabic",1808,172,8.60073394495413,47.7522935779817,74.5761467889908,0.00944954128440367,0.394495412844037,308.164297247706,51,17,17
84,"Restaurants",2,0,15,"10:00AM-11:45PM","-",14,0,4.3,"5,30,48,23","Burgers,Fries,Kids meal,Shawarma",73662,9141,8.03752047315742,45.9565514103731,73.8876023657871,0.0165354868061874,0.335532302092812,287.98435855323,1789,629,596
85,"Sweets & Bakes",3,0,5,"11:59AM-11:30PM","-",15,50,4.6,"8,13","Desserts,Omani",877.3,209,7.83671428571429,46.2142857142857,72.6128571428571,0.033,0.271428571428571,280.789472857143,20,9,13
86,"Sweets & Bakes",3,0,15,"08:30AM-11:45PM","-",13,0,4.5,"41,51,8,57,38,43,32,62,25","Cakes,Crepes,Desserts,Donuts,Fresh Juices,Ice creams,Milkshakes,Pancakes,Waffles",24681.5,4054,6.38674278846154,42.6682692307692,74.6568108974359,0.0145192307692308,0.392227564102564,228.836994110577,1062,350,313
90,"Restaurants",2,0,15,"11:59AM-11:45PM","-",14,0,4.4,"1,5,8,52,27","American,Burgers,Desserts,Mojitos ,Pasta",12279.2,2065,8.11475352112676,45.3403755868545,74.1821596244131,0.01018779342723,0.397887323943662,290.751618661972,331,159,104
92,"Restaurants",2,0.7,6,"11:00AM-10:45PM","-",14,0,4.6,"3,38,48","Asian,Fresh Juices,Kids meal",23297.4,1799,7.30887955182073,42.6120448179272,74.3483193277311,0.0222689075630252,0.474789915966387,261.877154341737,285,120,105
104,"Restaurants",2,0,2,"10:59AM-11:30PM","-",10,0,4.5,"1,5,91,29,27","American,Burgers,Free Delivery,Hot Dogs,Pasta",12695.3,2187,9.24889932885906,40.8120805369128,73.7892617449664,0.033758389261745,0.346308724832215,331.38806295302,292,126,82
105,"Restaurants",2,0,15,"10:59AM-11:30PM","-",12,0,4.5,"1,5,91,29,27","American,Burgers,Free Delivery,Hot Dogs,Pasta",43129.9,7535,8.8037485136742,44.7740784780024,75.4601070154578,0.0127764565992866,0.471759809750297,315.438309244946,1411,481,481
106,"Restaurants",2,0,15,"10:59AM-11:30PM","-",10,0,4.5,"1,5,91,29,27","American,Burgers,Free Delivery,Hot Dogs,Pasta",16072.5,2937,7.31289642529789,40.6324472960587,75.1131989000917,0.0285334555453712,0.482126489459212,262.021078918423,500,164,130
110,"Restaurants",2,0.7,15,"11:15AM-10:00PM","-",18,35,4.6,"3,58,22,11,33,28","Asian,Dimsum,Grills,Japanese,Rice,Soups",17633.9,1375,7.9276493256262,50.4238921001927,74.9587668593449,0.0253179190751445,0.481695568400771,284.047675337187,218,100,88
113,"Restaurants",2,0,15,"10:59AM-10:59PM","-",10,0,4.7,"2,8,91,10","Arabic,Desserts,Free Delivery,Indian",56891.6,6809,7.34509664292981,40.2403357070193,74.1070701932859,0.0116556459816887,0.389877924720244,263.174812716175,1570,571,626
115,"Sweets & Bakes",2,0,15,"09:59AM-11:45PM","-",13,0,4.8,"8,91,9,56","Desserts,Free Delivery,Healthy Food,Sweets",2045.7,359,7.99236686390533,44.3491124260355,74.3917159763314,0.0202958579881657,0.366863905325444,286.366504733728,67,44,24
134,"Restaurants",2,0,15,"8:00AM-09:45PM","-",16,0,4.5,"5,9,32,16,35","Burgers,Healthy Food,Milkshakes,Sandwiches,Steaks",16016.3,1330,5.98257281553398,43.4870550161812,73.5907766990291,0.011084142394822,0.351132686084142,214.355583980583,255,81,87
145,"Restaurants",2,0,15,"04:00PM-11:45PM","-",10,0,3.2,"2,15,16","Arabic,Pizzas,Sandwiches",4812.8,1187,7.68570019723866,41.8737672583826,74.0735700197239,0.0103155818540434,0.368836291913215,275.378638067061,186,79,50
148,"Restaurants",2,0.7,15,"08:00AM-11:45PM","-",16,15,4.1,"4,5,22,89,16,23","Breakfast,Burgers,Grills,Pizza,Sandwiches,Shawarma",8521.1,1749,7.17456752655539,45.5311077389985,73.5285280728376,0.0132928679817906,0.332321699544765,257.064754476479,264,93,95
149,"Restaurants",2,0.7,15,"11:15AM-10:30PM","-",15,0,4.2,"2","Arabic",2746.6,357,7.79627819548872,46.0902255639098,75.7165413533835,0.0162406015037594,0.503759398496241,279.340647744361,119,57,27
154,"Restaurants",2,0.7,15,"11:00AM-11:45PM","-",15,0,4.5,"1,5,47,24,16","American,Burgers,Mishkak,Salads,Sandwiches",6005.8,1074,9.24025171624714,49.9313501144165,75.2828375286041,0.0178032036613272,0.411899313501144,331.078218993135,150,44,79
157,"Restaurants",2,0.7,15,"10:59AM-3:30PM","06:30PM-11:00PM",15,0,4.3,"31,8,10,33,67,21","Biryani,Desserts,Indian,Rice,Thali,Vegetarian",10191.8,1593,6.23020214030916,44.4114149821641,74.2954815695601,0.023436385255648,0.400713436385256,223.228142687277,330,187,72
159,"Restaurants",2,0,6,"11.30am-11:30PM","-",13,0,4.5,"1,5,16","American,Burgers,Sandwiches",22249.4,3276,7.3106268958544,41.5015166835187,74.024570273003,0.0241051567239636,0.457027300303337,261.939761678463,380,152,130
160,"Restaurants",2,0.7,15,"10:00AM-11:45PM","-",14,0,4.3,"1,5,48,16","American,Burgers,Kids meal,Sandwiches",8121.6,1275,8.93015341701534,46.3877266387727,73.1020920502092,0.00846582984658299,0.319386331938633,319.96739693166,273,96,73
161,"Restaurants",2,0.7,10,"11:00AM-11:59PM","12:00AM-01:00AM",17,0,4.2,"5,8,63,15","Burgers,Desserts,Pastry,Pizzas",452.9,103,9.48230769230769,55.8974358974359,78.3871794871795,0.0212820512820513,0.692307692307692,339.751084615385,19,7,6
176,"Restaurants",2,0.7,8,"09:00AM-09:01AM","-",21,0,4.3,"4,8,22,32,24,16,28","Breakfast,Desserts,Grills,Milkshakes,Salads,Sandwiches,Soups",10408.4,1696,7.59721627408994,49.0899357601713,73.3783725910064,0.0170235546038544,0.353319057815846,272.208259100642,203,61,73
180,"Restaurants",2,0.7,15,"11:00AM-11:00PM","-",15,0,3.8,"2,22,10,27,24,17,28,56","Arabic,Grills,Indian,Pasta,Salads,Seafood,Soups,Sweets",787.5,102,8.78650793650794,48.1746031746032,77.3714285714286,0.0166666666666667,0.587301587301587,314.820579365079,29,7,8
188,"Restaurants",2,0.7,8,"11:59AM-10:45PM","-",14,0,4.6,"34,27,15,24,16","Italian,Pasta,Pizzas,Salads,Sandwiches",23657.2,1749,7.98438990182328,45.0420757363254,73.9134642356241,0.0163534361851332,0.375876577840112,286.080690182328,282,96,126
189,"Restaurants",2,0.7,15,"7:58AM-11:45PM","-",10,0,4.3,"16,23,38,52,32","Sandwiches,Shawarma,Fresh Juices,Mojitos,Milkshakes",14932.9,4263,5.81450477326969,38.9081145584726,73.6939737470167,0.0254653937947494,0.285799522673031,208.333706026253,632,210,256
191,"Restaurants",2,0.7,8,"09:00 AM-11:45 PM","-",11,0,4.5,"38,32,52,16,23","Fresh Juices,Milkshakes,Mojitos ,Sandwiches,Shawarma",13466.7,4021,7.90736022646851,40.686482661005,73.889313517339,0.0207077140835103,0.372965322009908,283.320716914367,559,248,139
192,"Restaurants",2,0.7,10,"09:00 AM-11:45 PM","-",11,0,4.3,"38,32,52,16,23","Fresh Juices,Milkshakes,Mojitos ,Sandwiches,Shawarma",4751.3,1501,4.74276666666667,36.9666666666667,73.5091666666667,0.0271333333333333,0.325,169.933329666667,233,96,76
193,"Restaurants",2,0.7,10,"11:00AM-11:01PM","-",18,0,4.3,"2,5,16,23,22,15,8","Arabic,Burgers,Sandwiches,Shawarma,Grills,Pizzas,Desserts",525,124,9.6454,53.8,76.856,0.0186,0.52,345.594682,13,7,16
195,"Restaurants",2,0.7,15,"05:30PM-11:59PM","00:01AM-02:30AM",15,0,4.2,"5,30,22,47,52,16,56","Burgers,Fries,Grills,Mishkak,Mojitos ,Sandwiches,Sweets",2922.9,618,6.78030769230769,45.1346153846154,73.9765384615385,0.00742307692307692,0.35,242.938424615385,102,46,27
197,"Restaurants",2,0,15,"11:59AM-10:45PM ","-",17,0,4.4,"91,42,24","Free Delivery,Mexican,Salads",8205,860,6.39567335243553,45.702005730659,73.4567335243553,0.0255873925501433,0.363896848137536,229.156976217765,128,89,35
199,"Sweets & Bakes",3,0,15,"08:30AM-11:45PM","-",15,0,4.5,"41,51,8,57,38,43,32,52,62,25","Cakes,Crepes,Desserts,Donuts,Fresh Juices,Ice creams,Milkshakes,Mojitos ,Pancakes,Waffles",4758.2,767,4.99776824034335,42.4785407725322,73.7321888412017,0.0184334763948498,0.369098712446352,179.070036051502,170,79,59
201,"Restaurants",2,0.7,15,"11:00AM-3:50pm","6:10pm-12:00am",12,0,4,"31,8,10,28","Biryani,Desserts,Indian,Soups",4888,858,7.49974789915966,41.9747899159664,73.940756302521,0.0364705882352941,0.38655462184874,268.715967226891,207,83,64
203,"Restaurants",2,0.7,15,"11:00AM-11:01PM","-",16,0,4,"1,16,29,30","American,Sandwiches,Hot Dogs,Fries",2095.4,314,8.08436708860759,47.4050632911392,73.7177215189873,0.020379746835443,0.341772151898734,289.66287278481,67,21,22
207,"Restaurants",2,0.7,15,"11:00AM-04:00PM","06:00PM-11:45PM",15,0,4.1,"2,31,7,22,10,33,24,28,19","Arabic,Biryani,Chinese,Grills,Indian,Rice,Salads,Soups,Thai",5794,815,8.78382478632479,47.3931623931624,74.0083333333333,0.0172863247863248,0.386752136752137,314.724442094017,199,77,42
216,"Restaurants",2,0.7,6,"09:00AM-08:00pm ","-",15,0,4.7,"60,73","Coffee,Organic",9690.1,1214,7.25994987468672,44.4172932330827,74.4293233082707,0.0120551378446115,0.43859649122807,260.124004010025,380,114,115
221,"Sweets & Bakes",3,0.7,15,"09:00AM-11:00PM","-",10,0,4.2,"38,9,36","Fresh Juices,Healthy Food,Smoothies",398.6,67,7.84425,41.125,73.0075,0.016,0.425,281.0594775,14,7,2
225,"Restaurants",2,0,15,"06:15AM-11:45PM","-",10,0,4.2,"4,91,38,30,79,52,45","Breakfast,Free Delivery,Fresh Juices,Fries,Karak,Mojitos ,Rolls",9562.3,2704,8.29492985971944,43.0911823647295,74.2142284569138,0.0102705410821643,0.396793587174349,297.207336873747,398,165,146
237,"Restaurants",2,0.7,15,"08:30PM-11:59PM","00:01AM-02:30AM",15,0,4.6,"1,5,8,57,30,27,24,16","American,Burgers,Desserts,Donuts,Fries,Pasta,Salads,Sandwiches",13306.7,2037,7.16936143039591,45.2043422733078,74.1933588761175,0.0250574712643678,0.347381864623244,256.878220051086,290,119,108
250,"Restaurants",2,0.7,5,"09:00AM-11:45PM","-",15,0,4.5,"1,4,45,24,16","American,Breakfast,Rolls,Salads,Sandwiches",3302.3,527,6.85473282442748,42.175572519084,74.4171755725191,0.0146946564885496,0.412213740458015,245.605077099237,128,51,28
259,"Restaurants",2,0,15,"05:00PM-11:59PM ","-",15,0,4.3,"1,5,48,27,16,36,28,35","American,Burgers,Kids meal,Pasta,Sandwiches,Smoothies,Soups,Steaks",12202.4,860,6.32936639118457,44.3112947658402,74.2509641873278,0.0364187327823691,0.413223140495868,226.781197796143,133,40,84
265,"Sweets & Bakes",3,0,10,"08:00AM-11:45PM","-",15,0,4.3,"8,91,38,9,43,32,52","Desserts,Free Delivery,Fresh Juices,Healthy Food,Ice creams,Milkshakes,Mojitos ",687.5,113,6.553,45.6428571428571,72.86,0.0277142857142857,0.314285714285714,234.79399,19,17,7
271,"Restaurants",2,0.7,5,"05:00PM-11:45PM","-",11,0,4.5,"1,5,48,27,16,36,28,35","American,Burgers,Kids meal,Pasta,Sandwiches,Smoothies,Soups,Steaks",13495.8,939,7.16465393794749,41.0023866348449,74.0233890214797,0.0163961813842482,0.35799522673031,256.709550596659,180,67,65
274,"Sweets & Bakes",3,0.7,15,"11AM-11PM","-",45,0,3.7,"41,57","Cakes,Donuts",736.4,80,5.70189189189189,73.1081081081081,71.7027027027027,0.00027027027027027,0.351351351351351,204.298786486486,18,3,4
288,"Restaurants",2,0,6,"11:15AM-03:00PM","05:15PM-09:30PM ",15,0,4.6,"3,8,33,24,28,19","Asian,Desserts,Rice,Salads,Soups,Thai",16872.8,1690,5.74786821705426,42.1996124031008,73.7990310077519,0.0104263565891473,0.449612403100775,205.946118217054,188,97,76
289,"Restaurants",2,0.7,15,"11:30AM-11.59 PM","-",15,0,4.5,"1,5,30,52","American,Burgers,Fries,Mojitos ",6411.1,772,8.69852130325815,47.34335839599,74.7020050125313,0.00952380952380952,0.443609022556391,311.668018295739,174,66,58
294,"Restaurants",2,0,10,"09:00AM-11:45PM","-",15,0,4.4,"5,8,91,22,42","Burgers,Desserts,Free Delivery,Grills,Mexican",951.8,92,7.54666666666667,45.9803921568627,74.3882352941176,0.0445098039215686,0.392156862745098,270.397066666667,17,19,5
295,"Restaurants",2,0.7,5,"08:00AM-11:45PM","-",15,0,4.7,"60,38,61,16,36","Coffee,Fresh Juices,Hot Chocolate,Sandwiches,Smoothies",5427.4,807,6.85503480278422,43.1670533642691,74.1252900232019,0.0176102088167053,0.440835266821346,245.615896983759,168,61,76
298,"Restaurants",2,0,8,"10:00AM-11:00PM","-",17,0,4.7,"91,38,90,24,16","Free Delivery,Fresh Juices,Pastas,Salads,Sandwiches",11616.1,1147,7.24432078559738,46.9803600654664,73.7268412438625,0.0183633387888707,0.405891980360065,259.564013747954,329,80,68
299,"Restaurants",2,0.7,15,"10:00AM-1:45PM","-",15,0,4.2,"83,30,52,27,16","Combos,Fries,Mojitos ,Pasta,Sandwiches",8934,1452,10.0930855018587,49.454770755886,74.8933085501859,0.0155266418835192,0.437422552664188,361.635253531598,337,135,100
300,"Restaurants",2,0.7,15,"08:00AM-11:00PM","-",15,0,4.4,"60,38,61,16,36","Coffee,Fresh Juices,Hot Chocolate,Sandwiches,Smoothies",3166,474,6.50601694915254,45.1483050847458,74.1207627118644,0.0172881355932203,0.330508474576271,233.110587288136,89,24,41
303,"Restaurants",2,0.7,15,"08:00AM-3:30PM","-",15,0,4.7,"60,38,61,16,36","Coffee,Fresh Juices,Hot Chocolate,Sandwiches,Smoothies",3413.9,522,4.36698113207547,39.7924528301887,74.1177358490566,0.0128301886792453,0.415094339622642,156.468933962264,139,10,17
304,"Restaurants",2,0.7,10,"10:00AM-11:15PM","-",15,0,4,"1,4,5,30,16","American,Breakfast,Burgers,Fries,Sandwiches",1570.6,303,7.56337078651685,48.0337078651685,76.3078651685393,0.0134831460674157,0.49438202247191,270.995575280899,42,16,11
310,"Restaurants",2,0.7,15,"09:00AM-07:00PM","-",13,0,4.8,"26,8,24","Bagels,Desserts,Salads",12808.3,1515,5.69016248153619,41.6838995568685,73.8101920236337,0.011314623338257,0.450516986706056,203.878521713442,305,93,62
356,"Restaurants",2,0,15,"11:00AM-111:00PM","-",15,0,4.2,"1,48,27,15,24","American,Kids meal,Pasta,Pizzas,Salads",25878.1,2396,7.70983520105471,47.3928806855636,72.5496374423204,0.0130520764667106,0.264337508239947,276.24339525379,615,201,216
386,"Sweets & Bakes",3,0,15,"08:30AM-11:45PM","-",15,0,4.5,"80","Churros",35916,5265,7.62114189189189,46.5067567567568,74.1658783783784,0.0145777027027027,0.401689189189189,273.065513986486,1183,425,372
391,"Restaurants",2,0.7,5,"9:00AM-11:00PM","-",10,0,4.2,"1,4,5,8,34,24,16,28,35","American,Breakfast,Burgers,Desserts,Italian,Salads,Sandwiches,Soups,Steaks",2046.6,260,6.90646616541353,39.2857142857143,75.2624060150376,0.0198496240601504,0.556390977443609,247.458682706767,58,24,17
398,"Restaurants",2,0.7,15,"11:00AM-11:00PM","-",15,0,4.2,"13,2,77,27,33,28,12","Omani,Arabic,Shuwa,Pasta,Rice,Soups,Lebanese",8630.3,1056,7.78855614973262,47.1212121212121,74.1288770053476,0.0136898395721925,0.402852049910873,279.06396684492,214,91,72
401,"Sweets & Bakes",3,0.7,15,"10:00AM-11:15PM","-",13,0,4.5,"64,36","Frozen yoghurt,Smoothies",9211.8,1269,7.67931880108992,44.3256130790191,73.9884196185286,0.0179291553133515,0.341961852861035,275.149992643052,297,100,80
419,"Restaurants",2,0.7,15,"11:00AM-12:00PM","-",15,0,4.2,"2,71,16","Arabic,Kushari,Sandwiches",5675.6,1193,7.40729166666667,48.6607142857143,74.4175595238095,0.00970238095238095,0.360119047619048,265.403260416667,251,110,82
459,"Restaurants",2,0,10,"11:59AM-11:59PM","-",15,0,4.2,"5,91,32,52","Burgers,Free Delivery,Milkshakes,Mojitos ",11971.4,2632,9.70502717391304,54.6105072463768,75.3179347826087,0.00984601449275362,0.519021739130435,347.731123641304,466,192,146
537,"Restaurants",2,0,15,"08:00AM-11:45-","-",20,0,4.4,"1,5,8,91,30,29,48","American,Burgers,Desserts,Free Delivery,Fries,Hot Dogs,Kids meal",17536.8,2991,6.73175553732568,47.994257588187,72.6856439704676,0.0132895816242822,0.310090237899918,241.198800902379,493,195,158
547,"Restaurants",2,0.7,10,"09:00AM-11:59PM","-",10,0,4.4,"38,12,16,23","Fresh Juices,Lebanese,Sandwiches,Shawarma",18798.1,3393,6.11627172195893,38.1200631911532,72.2145339652449,0.016477093206951,0.255134281200632,219.146015797788,502,173,177
573,"Restaurants",2,0,15,"04:59PM-11:45PM","-",10,0,4.6,"5,8,91,27,16","Burgers,Desserts,Free Delivery,Pasta,Sandwiches",17413.2,3338,5.50867142857143,37.0642857142857,73.9996428571429,0.0233857142857143,0.374285714285714,197.375697285714,513,247,202
575,"Sweets & Bakes",3,0,15,"10:00AM-11:45PM","-",15,0,4.1,"60,62,86,25","Coffee,Pancakes,Spanish Latte,Waffles",4189.9,831,7.38958742632613,46.0216110019646,75.5139489194499,0.0093516699410609,0.516699410609037,264.768917485265,233,79,70
577,"Restaurants",2,0.7,8,"11:00AM-11:00PM","-",5,0,4.5,"5,8,49,24","Burgers,Desserts,Family Meal,Salads",19009.7,1703,6.93346414073072,42.0906630581867,74.3719891745602,0.0178484438430311,0.414073071718539,248.426020162382,333,106,88
578,"Restaurants",2,0.7,15,"12:00PM-11:59PM","-",10,0,4.3,"38,16,23","Fresh Juices,Sandwiches,Shawarma",22035.7,3628,6.07715980460572,37.4214933705513,73.8353105373343,0.0224424284717376,0.349616189811584,217.744635799023,630,202,195
582,"Restaurants",2,0.7,15,"12:00PM-11:59PM","-",10,0,4.2,"38,16,23","Fresh Juices,Sandwiches,Shawarma",8702.2,1499,6.53787456445993,37.0557491289199,73.015331010453,0.0151219512195122,0.320557491289199,234.252045644599,221,73,63
583,"Restaurants",2,0.7,15,"00:01AM-01:00AM","09:00AM-11:59PM",10,0,4.3,"38,16,23","Fresh Juices,Sandwiches,Shawarma",19300.7,3811,7.03090845562544,40.9329140461216,72.6814116002795,0.0206429070580014,0.258560447239693,251.917449965059,578,192,196
676,"Restaurants",2,0.7,14,"9-22","-",10,0,4.4,"31,8,10,44,33","Biryani,Desserts,Indian,Kebabs,Rice",11581.8,1744,6.32397689768977,44.7029702970297,72.1445544554455,0.0197854785478548,0.219471947194719,226.588092244224,235,74,87
679,"Restaurants",2,0.7,15,"08:00AM-11:00PM","-",10,0,4.5,"31,8,10,44,33","Biryani,Desserts,Indian,Kebabs,Rice",19359.9,3085,7.51894973070018,48.7073608617594,72.2691202872531,0.0155296229802513,0.254039497307002,269.403968850987,478,153,129
681,"Restaurants",2,0.7,15,"9-22","-",10,0,4.4,"31,8,10,44,33","Biryani,Desserts,Indian,Kebabs,Rice",18228.4,2846,7.1951404494382,48.1507490636704,72.0982209737828,0.0149812734082397,0.245318352059925,257.801882303371,435,155,123
841,"Restaurants",2,0,6,"","",10,0,4,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",7935.4,1342,2.88516279069767,34.4806201550388,71.2790697674419,0.0137209302325581,0.223255813953488,103.375382790698,264,96,65
843,"Restaurants",2,0,5,"","",10,0,4.3,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",7624.1,1261,3.62215210355987,34.546925566343,70.8386731391586,0.0220550161812298,0.213592233009709,129.78170987055,189,90,56
845,"Restaurants",2,0,5,"","",10,0,4,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",8048.4,1425,3.30270161290323,34.0524193548387,71.2146505376344,0.0208198924731183,0.169354838709677,118.335798790323,252,55,70
846,"Restaurants",2,0,6,"","",10,0,4.1,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",30281.1,5029,4.24173296573454,35.6636471051595,71.2181961402127,0.018905080740449,0.20126033871603,151.981292162269,814,304,253
849,"Restaurants",2,0,10,"","",10,0,4.1,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",12233.5,2118,4.21150234741784,36.2957746478873,71.0569014084507,0.0324507042253521,0.260093896713615,150.898129107981,337,113,125
855,"Restaurants",2,0,8,"","",10,0,4.2,"1,5,8,91,30,48,24","American,Burgers,Desserts,Free Delivery,Fries,Kids meal,Salads",9989.6,1685,4.70054347826087,36.237922705314,71.0099033816425,0.0101207729468599,0.257246376811594,168.420472826087,242,100,96
856,"Restaurants",2,0,7,"","",10,0,4.3,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",12875.6,2173,4.76710076045627,36.2832699619772,71.055608365019,0.00526615969581749,0.230988593155894,170.805220247148,343,127,118
858,"Restaurants",2,0,3,"","",10,0,4.2,"1,4,5,6,8,91,30,43,48,24","American,Breakfast,Burgers,Cafe,Desserts,Free Delivery,Fries,Ice creams,Kids meal,Salads",9656.5,1681,2.73992998833139,33.5180863477246,70.9521586931155,0.0207234539089848,0.218203033838973,98.1716914819136,326,106,94
907,"Restaurants",2,0.7,12,"","",20,0,4.3,"46,52,16","Fatayers,Mojitos ,Sandwiches",3638,1663,6.15812703583062,49.771986970684,72.1509771986971,0,0.229641693811075,220.645691693811,155,25,25
